"","tmedia","umidita"
"V1",0.112740763809566,-0.480877301109235
"V2",0.0278218535723462,-0.425019221310439
"V3",0.391202645659553,0.06684691771819
"V4",1.18052354367232,-1.01039572456078
"V5",0.966981541735905,-0.857221977415336
"V6",0.459381079937294,-0.379616626698421
"V7",-0.453408350571171,0.416564616078725
"V8",0.607490873071828,-0.101424020626385
"V9",1.24221412670784,-1.09051455755025
"V10",0.872357065155042,-0.736551691070236
"V11",-0.635505923652368,0.700396876973967
"V12",-1.20984370557898,0.820824705395889
"V13",0.654829595256872,-0.279675045025688
"V14",0.340790946610067,-0.969504871153184
"V15",-0.621717036598987,0.705242497049236
"V16",-0.888899500817241,0.804332446386387
"V17",-1.12230481007051,1.05033484607983
"V18",-0.90569097247065,0.345330662911774
"V19",-0.664958326111983,0.383546417302553
"V20",-0.436912983058304,-0.00630090293116388
"V21",0.423231437049765,-0.378138488959752
"V22",0.0244092461892863,0.507819313253583
"V23",-0.731473283013071,1.08807274816512
"V24",0.41928935001863,-0.246949669889312
"V25",0.518138963947902,-0.859434177152084
